,lr1,lr2,wd1,wd2,sched,model_size,backbone,dataset,loss_function,model_type,ft_strategy
48,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.mae,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
49,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,vit_small_patch16_224.dino,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
50,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.fb_in22k,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
51,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,robust_convnext_base,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
52,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.augreg_in1k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
53,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.augreg_in21k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
54,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_clip_224.laion2b,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
55,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,convnext_tiny.fb_in1k,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
56,2.3187283452990446e-05,1.977953176726232e-06,0.00048096354537337677,0.0002356470857433856,True,1,robust_convnext_tiny,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
57,0.00042072361008387834,2.618876524868541e-06,0.0046499184692037525,0.004383222605120044,True,1,robust_deit_small_patch16_224,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
58,0.0026674574591455755,1.0525948689799705e-05,0.0032543911150884836,1.2869165107815028e-06,True,1,vit_small_patch16_224.augreg_in1k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
59,0.0026674574591455755,1.0525948689799705e-05,0.0032543911150884836,1.2869165107815028e-06,True,1,convnext_tiny.fb_in22k,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
60,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_clip_224.laion2b_ft_in1k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
61,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.augreg_in21k_ft_in1k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
62,0.0026674574591455755,1.0525948689799705e-05,0.0032543911150884836,1.2869165107815028e-06,True,1,vit_small_patch16_224.augreg_in21k_ft_in1k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
63,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,eva02_base_patch14_224.mim_in22k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
64,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,eva02_tiny_patch14_224.mim_in22k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
65,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,swin_base_patch4_window7_224.ms_in22k_ft_in1k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
66,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,swin_tiny_patch4_window7_224.ms_in1k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
67,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
68,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.fb_in22k_ft_in1k,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
69,0.0026674574591455755,1.0525948689799705e-05,0.0032543911150884836,1.2869165107815028e-06,True,1,convnext_tiny.fb_in22k_ft_in1k,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
70,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,coatnet_0_rw_224.sw_in1k,stanford_cars,TRADES_v2,hybrid,full_fine_tuning_50epochs
71,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,coatnet_2_rw_224.sw_in12k_ft_in1k,stanford_cars,TRADES_v2,hybrid,full_fine_tuning_50epochs
72,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,coatnet_2_rw_224.sw_in12k,stanford_cars,TRADES_v2,hybrid,full_fine_tuning_50epochs
73,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,regnetx_004.pycls_in1k,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
74,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,efficientnet-b0,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
75,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,deit_tiny_patch16_224.fb_in1k,stanford_cars,TRADES_v2,fully attention,full_fine_tuning_50epochs
76,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,mobilevit-small,stanford_cars,TRADES_v2,hybrid,full_fine_tuning_50epochs
77,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,mobilenetv3_large_100.ra_in1k,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
78,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,edgenext_small.usi_in1k,stanford_cars,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
79,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,coat_tiny.in1k,stanford_cars,TRADES_v2,hybrid,full_fine_tuning_50epochs
80,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
81,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,CLIP-convnext_base_w-laion2B-s13B-b82K,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
82,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,deit_small_patch16_224.fb_in1k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
83,3.690803219673014e-05,0.0028947634357865313,0.0032029975700290426,0.00378814552109712,True,1,robust_resnet50,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
84,1.4820285018742478e-06,0.0013187119216379328,0.000439079257324,1.5630799020950923e-05,True,1,vit_small_patch16_224.augreg_in21k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
85,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.fb_in1k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
