dataset,,,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,,,,,,borda,nan_geom_cnt,nan_sum_cnt,rank_borda,rank_geom,rank_sum,score_geom,score_sum,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data
backbone,backbone_name,loss_function,pre_training_strategy,model_type,model_size,ft_strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swin_base_patch4_window7_224.ms_in22k_ft_in1k,"swin_b,sup,ink22k-in1k",CLASSIC_AT,supervised (multistep),fully attention,large,FFT (50 epochs),1218.0,0,0,25.0,1.0,19.0,0.1565609726985074,3.9211428571428564,0.724,0.673,0.502,368.0,0.858,0.746,0.156560955394272,3.5029999999999997,15478289,0.009,0.009,0.007,198.0,0.01,0.01,5.6699999999999995e-11,0.045000000000000005,15478289,0.0,0.0,0.0,43.0,0.006,0.012,0.0,0.018000000000000002,15478289,0.028,0.028,0.028,254.0,0.028,0.028,1.7210368e-08,0.14,15478289,0.006666666666666667,0.008,0.009333333333333334,237.0,0.009333333333333334,0.008,3.7167407407407424e-11,0.04133333333333333,15478289,0.009523809523809525,0.0,0.0,118.0,0.0761904761904762,0.0880952380952381,0.0,0.1738095238095238,15478289
deit_small_patch16_224.fb_in1k,"deit_s,sup,in1k",CLASSIC_AT,supervised,fully attention,medium,FFT (50 epochs),1498.0,0,0,5.0,5.0,20.0,0.0551170695030228,3.9095714285714283,0.548,0.538,0.3546666666666667,347.0,0.7866666666666666,0.67,0.055112328240355564,2.897333333333333,1281167,0.012,0.01,0.01,226.0,0.01,0.01,1.2000000000000003e-10,0.052,1281167,0.011,0.01,0.001,250.0,0.02,0.019,4.180000000000001e-11,0.061,1281167,0.032,0.03,0.013333333333333334,279.0,0.029333333333333333,0.03333333333333333,1.2515555555555556e-08,0.13799999999999998,1281167,0.004,0.002,0.0,88.0,0.004,0.006,0.0,0.016,1281167,0.09285714285714286,0.06428571428571428,0.009523809523809525,308.0,0.3119047619047619,0.26666666666666666,4.7285853116756906e-06,0.7452380952380953,1281167
edgenext_small.usi_in1k,"edgenetx_s,sup,in1k",TRADES_v2,supervised,hybrid,small,FFT (50 epochs),1309.0,0,0,16.0,7.0,21.0,0.02630557095790924,3.861761904761905,0.513,0.456,0.223,337.0,0.783,0.644,0.026304781593888008,2.619,1281167,0.0,0.0,0.0,124.0,0.048,0.04133333333333333,0.0,0.08933333333333333,1281167,0.024,0.005,0.0,263.0,0.348,0.281,0.0,0.658,1281167,0.0,0.0,0.0,16.0,0.023,0.018666666666666668,0.0,0.04166666666666667,1281167,0.009,0.009,0.001,300.0,0.069,0.061,3.40929e-10,0.149,1281167,0.05,0.05714285714285714,0.05238095238095238,269.0,0.07142857142857142,0.07380952380952381,7.890230922300893e-07,0.3047619047619048,1281167
robust_deit_small_patch16_224,"deit_s,rob-sup,in1k",CLASSIC_AT,supervised (robust),fully attention,medium,FFT (50 epochs),1263.0,0,0,22.0,15.0,22.0,0.005409105906888,3.8021904761904763,0.153,0.152,0.143,248.0,0.167,0.155,8.608336308e-05,0.77,1281167,0.009,0.048,0.069,372.0,0.149,0.13733333333333334,6.09951168e-07,0.41233333333333333,1281167,0.0,0.001,0.002,176.0,0.025,0.02,0.0,0.048,1281167,0.048,0.376,0.494,385.0,0.81,0.737,0.00532241259264,2.4650000000000003,1281167,0.0,0.0,0.0,32.0,0.006,0.008,0.0,0.014,1281167,0.0,0.0,0.002380952380952381,50.0,0.04523809523809524,0.04523809523809524,0.0,0.09285714285714286,1281167
robust_convnext_base,"convnext_b,rob-sup,in1k",TRADES_v2,supervised (robust),fully convolutional,large,FFT (50 epochs),1464.0,0,0,8.0,11.0,23.0,0.00973386984886883,3.354571428571429,0.208,0.30933333333333335,0.3626666666666667,317.0,0.6973333333333334,0.5973333333333334,0.00971974504336751,2.174666666666667,1281167,0.0,0.002,0.002,91.0,0.008,0.008,0.0,0.02,1281167,0.018,0.018,0.018,287.0,0.018,0.017333333333333333,1.8195839999999992e-09,0.08933333333333332,1281167,0.028,0.02266666666666667,0.030666666666666665,261.0,0.030666666666666665,0.028,1.671232474074074e-08,0.13999999999999999,1281167,0.005333333333333333,0.008,0.007,194.0,0.007,0.008,1.6725333333333334e-11,0.03533333333333333,1281167,0.01904761904761905,0.06031746031746032,0.09523809523809523,314.0,0.3904761904761905,0.33015873015873015,1.4106256867246374e-05,0.8952380952380952,1281167
coatnet_2_rw_224.sw_in12k_ft_in1k,"coatnet_2,sup,in12k-in1k",TRADES_v2,supervised (multistep),hybrid,large,FFT (50 epochs),1028.0,0,0,42.0,9.0,24.0,0.01210231889690096,3.3203015873015875,0.567,0.29,0.108,334.0,0.892,0.764,0.01210216375872,2.621,10281167,0.001,0.0,0.0,152.0,0.026,0.028,0.0,0.055,10281167,0.0013333333333333333,0.0,0.0,46.0,0.003,0.003,0.0,0.007333333333333333,10281167,0.012,0.002,0.0,139.0,0.024,0.029333333333333333,0.0,0.06733333333333334,10281167,0.002,0.0,0.0,175.0,0.187,0.16,0.0,0.349,10281167,0.04285714285714286,0.0380952380952381,0.03492063492063492,182.0,0.047619047619047616,0.05714285714285714,1.551381809607549e-07,0.22063492063492063,10281167
resnet50.a1_in1k,"resnet50,sup,in1k",TRADES_v2,supervised,fully convolutional,medium,FFT (50 epochs),646.0,0,0,70.0,76.0,25.0,0.0,3.2590000000000003,0.055,0.0,0.0,153.0,0.803,0.627,0.0,1.485,1281167,0.0,0.0,0.0,17.0,0.008,0.01,0.0,0.018000000000000002,1281167,0.004,0.0,0.0,180.0,0.225,0.165,0.0,0.394,1281167,0.0,0.0,0.0,64.0,0.032,0.02666666666666667,0.0,0.05866666666666667,1281167,0.0,0.0,0.0,76.0,0.008,0.012,0.0,0.02,1281167,0.0,0.0,0.0,156.0,0.7714285714285715,0.5119047619047619,0.0,1.2833333333333332,1281167
convnext_base.fb_in1k,"convnext_b,sup,in1k",CLASSIC_AT,supervised,fully convolutional,large,FFT (50 epochs),1107.0,0,0,34.0,62.0,26.0,1.2154191653583493e-07,3.211460317460317,0.0013333333333333333,0.0,0.0,121.0,0.515,0.473,0.0,0.9893333333333333,1281167,0.010666666666666666,0.008,0.010666666666666666,245.0,0.010666666666666666,0.01,9.709037037037037e-11,0.05,1281167,0.0,0.0,0.0,134.0,0.2,0.16933333333333334,0.0,0.36933333333333335,1281167,0.003,0.0,0.0,173.0,0.634,0.611,0.0,1.248,1281167,0.008,0.008,0.006666666666666667,191.0,0.006666666666666667,0.008,2.2755555555555564e-11,0.037333333333333336,1281167,0.012698412698412698,0.011904761904761904,0.014285714285714285,243.0,0.2714285714285714,0.20714285714285716,1.21422070609909e-07,0.5174603174603175,1281167
coat_tiny.in1k,"coat_t,sup,in1k",TRADES_v2,supervised,hybrid,small,FFT (50 epochs),955.0,0,0,52.0,49.0,27.0,3.266232926814815e-06,3.0890476190476193,0.076,0.014666666666666666,0.005333333333333333,212.0,0.8426666666666667,0.652,3.266232926814815e-06,1.5906666666666667,1281167,0.0,0.0,0.0,129.0,0.053,0.042,0.0,0.095,1281167,0.0,0.008,0.011,225.0,0.035,0.034,0.0,0.088,1281167,0.0,0.0,0.0,113.0,0.098,0.065,0.0,0.163,1281167,0.0,0.0,0.0,142.0,0.202,0.148,0.0,0.35,1281167,0.0,0.0,0.0,134.0,0.4880952380952381,0.3142857142857143,0.0,0.8023809523809524,1281167
robust_vit_base_patch16_224,"vit_b,rob-sup,in1k",TRADES_v2,supervised (robust),fully attention,large,FFT (50 epochs),1239.0,0,0,23.0,17.0,28.0,0.0013289542451119995,2.857142857142857,0.23466666666666666,0.252,0.212,289.0,0.348,0.304,0.0013262965309439997,1.3506666666666667,1281167,0.0026666666666666666,0.004,0.003,271.0,0.052,0.051,8.486399999999999e-11,0.11266666666666666,1281167,0.0,0.0,0.0,59.0,0.016,0.011,0.0,0.027,1281167,0.006,0.051,0.028,316.0,0.607,0.511,2.657596536e-06,1.203,1281167,0.008,0.008,0.008,207.0,0.008,0.008,3.276800000000001e-11,0.04,1281167,0.0,0.009523809523809525,0.023809523809523808,97.0,0.04523809523809524,0.04523809523809524,0.0,0.12380952380952381,1281167
