dataset,,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,TOTAL,TOTAL,TOTAL,TOTAL
metric,,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,score_sum,score_geom,nan_sum_cnt,nan_geom_cnt
backbone,loss_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vit_base_patch16_224.augreg_in21k,TRADES_v2,0.058,0.128,0.137,0.147,0.135,2.0184111360000003e-05,2,0.605,0.0,0.0,0.0,0.009,0.009,0.0,2,0.018,0.0,0.0,0.0,0.008,0.005,0.0,2,0.013000000000000001,0.027,0.027,0.027,0.027,0.027,1.4348906999999998e-08,2,0.135,0.0,0.001,0.002,0.008,0.007,0.0,2,0.018,0.0,0.0,0.0,0.06428571428571428,0.04285714285714286,0.0,2,0.10714285714285714,0.8961428571428571,2.0198460267e-05,0,0
convnext_base.fb_in22k_ft_in1k,CLASSIC_AT,0.092,0.092,0.092,0.092,0.092,6.590815231999999e-06,2,0.45999999999999996,0.002,0.001,0.0,0.011,0.009333333333333334,0.0,2,0.023333333333333334,0.0,0.0,0.0,0.012,0.013333333333333334,0.0,2,0.025333333333333333,0.0,0.0,0.0,0.016,0.02666666666666667,0.0,2,0.04266666666666667,0.0,0.0,0.0,0.021,0.02,0.0,2,0.041,0.0,0.0,0.0,0.09761904761904762,0.09047619047619047,0.0,2,0.1880952380952381,0.7804285714285714,6.590815231999999e-06,0,0
CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,CLASSIC_AT,0.0,0.0,0.0,0.244,0.18266666666666667,0.0,2,0.42666666666666664,0.01,0.013333333333333334,0.01,0.01,0.01,1.3333333333333334e-10,2,0.05333333333333334,0.023,0.023,0.023,0.023,0.022,6.156501999999999e-09,2,0.11399999999999999,0.028,0.028,0.028,0.028,0.028,1.7210368e-08,2,0.14,0.008,0.006666666666666667,0.009333333333333334,0.009333333333333334,0.008,3.716740740740742e-11,2,0.04133333333333334,,,,,,,2,,0.7753333333333333,2.353737074074074e-08,1,1
robust_convnext_base,CLASSIC_AT,0.09066666666666667,0.07,0.092,0.092,0.108,5.80156416e-06,2,0.45266666666666666,0.008,0.01,0.01,0.01,0.01,8.000000000000002e-11,2,0.048,0.01,0.012,0.005333333333333333,0.005333333333333333,0.01,3.4133333333333334e-11,2,0.04266666666666667,0.021,0.024,0.022,0.031,0.03,1.031184e-08,2,0.128,0.006666666666666667,0.009333333333333334,0.006666666666666667,0.006666666666666667,0.013,3.595061728395062e-11,2,0.042333333333333334,,,,,,,2,,0.7136666666666667,5.812026083950617e-06,1,1
coatnet_2_rw_224.sw_in12k_ft_in1k,TRADES_v2,,,,,,,2,,0.001,0.0,0.0,0.026,0.028,0.0,2,0.055,0.0013333333333333333,0.0,0.0,0.003,0.003,0.0,2,0.007333333333333333,0.012,0.002,0.0,0.024,0.029333333333333333,0.0,2,0.06733333333333334,0.002,0.0,0.0,0.187,0.16,0.0,2,0.349,0.04285714285714286,0.0380952380952381,0.03492063492063492,0.047619047619047616,0.05714285714285714,1.551381809607549e-07,2,0.22063492063492063,0.6993015873015873,1.551381809607549e-07,1,1
vit_base_patch16_224.mae,TRADES_v2,0.0,0.0,0.0,0.115,0.109,0.0,2,0.224,0.0,0.0,0.0,0.009,0.008,0.0,2,0.017,0.0,0.0,0.0,0.016,0.016,0.0,2,0.032,0.0,0.001,0.004,0.031,0.029,0.0,2,0.065,0.0,0.0,0.0,0.008,0.009,0.0,2,0.017,0.02619047619047619,0.04047619047619048,0.06428571428571428,0.09523809523809523,0.08571428571428572,5.56315820788957e-07,2,0.3119047619047619,0.6669047619047619,5.56315820788957e-07,0,0
vit_base_patch16_clip_224.laion2b,CLASSIC_AT,0.0013333333333333333,0.005,0.006,0.014,0.012,6.7200000000000004e-12,2,0.03833333333333333,0.009333333333333334,0.01,0.009333333333333334,0.009333333333333334,0.01,8.130370370370374e-11,2,0.048,0.017,0.018,0.008,0.024,0.026,1.527552e-09,2,0.093,,,,,,,2,,0.008,0.008,0.008,0.008,0.012,4.915200000000001e-11,2,0.044,0.04523809523809524,0.04523809523809524,0.030952380952380953,0.1261904761904762,0.11904761904761904,9.515902336891276e-07,2,0.3666666666666667,0.5900000000000001,9.532549613928314e-07,1,1
vit_base_patch16_224.augreg_in21k_ft_in1k,TRADES_v2,0.0,0.0,0.0,0.027,0.042,0.0,2,0.069,0.0,0.0,0.0,0.012,0.013,0.0,2,0.025,0.0,0.0013333333333333333,0.008,0.014,0.011,0.0,2,0.03433333333333333,0.0,0.0,0.0,0.065,0.072,0.0,2,0.137,0.002,0.006,0.006,0.006,0.006,2.5920000000000003e-12,2,0.026000000000000002,0.047619047619047616,0.05238095238095238,0.047619047619047616,0.047619047619047616,0.047619047619047616,2.693371197235327e-07,2,0.24285714285714285,0.5341904761904762,2.693397117235327e-07,0,0
coatnet_2_rw_224.sw_in12k,CLASSIC_AT,0.0,0.0,0.051,0.092,0.087,0.0,2,0.22999999999999998,0.001,0.004,0.002,0.008,0.01,6.400000000000001e-13,2,0.025,0.0,0.0,0.0,0.002,0.004,0.0,2,0.006,0.0,0.0,0.0,0.032,0.021333333333333333,0.0,2,0.05333333333333333,0.006,0.0013333333333333333,0.008,0.008,0.005333333333333333,2.7306666666666665e-12,2,0.028666666666666663,0.0,0.0,0.0,0.06666666666666667,0.06984126984126984,0.0,2,0.13650793650793652,0.47950793650793655,3.3706666666666666e-12,0,0
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,CLASSIC_AT,,,,,,,2,,0.01,0.004,0.012,0.012,0.01,5.7600000000000007e-11,2,0.048,0.006,0.006,0.008,0.008,0.006,1.3824e-11,2,0.033999999999999996,0.027,0.027,0.027,0.027,0.02,1.062882e-08,2,0.128,0.006666666666666667,0.008,0.008,0.008,0.006666666666666667,2.275555555555556e-11,2,0.037333333333333336,0.047619047619047616,0.05238095238095238,0.04126984126984127,0.04126984126984127,0.047619047619047616,2.0230210325900903e-07,2,0.23015873015873015,0.47749206349206347,2.1302510281456458e-07,1,1
vit_base_patch16_224.augreg_in21k,CLASSIC_AT,,,,,,,2,,0.0,0.0,0.0,0.009,0.01,0.0,2,0.019,0.0,0.001,0.007,0.007,0.009,0.0,2,0.024,0.0,0.0,0.0,0.018,0.024,0.0,2,0.041999999999999996,0.005,0.005,0.005333333333333333,0.005333333333333333,0.004,2.8444444444444447e-12,2,0.024666666666666667,0.0,0.0031746031746031746,0.04126984126984127,0.07301587301587302,0.06666666666666667,0.0,2,0.18412698412698414,0.29379365079365083,2.8444444444444447e-12,1,1
