backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,stanford_cars
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,caltech101
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,fgvc-aircraft-2013b
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,flowers-102
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,oxford-iiit-pet
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,uc-merced-land-use-dataset
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,stanford_cars
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,caltech101
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,fgvc-aircraft-2013b
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,flowers-102
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,oxford-iiit-pet
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,uc-merced-land-use-dataset
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,stanford_cars
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,caltech101
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,fgvc-aircraft-2013b
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,flowers-102
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,oxford-iiit-pet
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,uc-merced-land-use-dataset
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,stanford_cars
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,caltech101
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,fgvc-aircraft-2013b
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,flowers-102
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,oxford-iiit-pet
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,uc-merced-land-use-dataset
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,stanford_cars
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,caltech101
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,fgvc-aircraft-2013b
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,flowers-102
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,oxford-iiit-pet
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,uc-merced-land-use-dataset
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,stanford_cars
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,caltech101
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,fgvc-aircraft-2013b
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,flowers-102
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,oxford-iiit-pet
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,uc-merced-land-use-dataset
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,stanford_cars
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,caltech101
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,fgvc-aircraft-2013b
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,flowers-102
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,oxford-iiit-pet
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,uc-merced-land-use-dataset
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,stanford_cars
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,caltech101
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,fgvc-aircraft-2013b
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,flowers-102
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,oxford-iiit-pet
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,uc-merced-land-use-dataset
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,stanford_cars
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,caltech101
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,fgvc-aircraft-2013b
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,flowers-102
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,oxford-iiit-pet
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),uc-merced-land-use-dataset
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),stanford_cars
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),caltech101
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),fgvc-aircraft-2013b
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),flowers-102
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),oxford-iiit-pet
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),uc-merced-land-use-dataset
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),stanford_cars
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),caltech101
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),fgvc-aircraft-2013b
