dataset,,,Aircraft,Aircraft,Aircraft,Aircraft,CIFAR10,CIFAR10,CIFAR10,CIFAR10,CIFAR100,CIFAR100,CIFAR100,CIFAR100,EuroSAT,EuroSAT,EuroSAT,EuroSAT,Flowers,Flowers,Flowers,Flowers
,,,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant
backbone,loss_function,init_lr,,,,,,,,,,,,,,,,,,,,
robust_convnext_tiny,APGD,0.0001,0.0098920863309352,0.0098920863309352,0.3714014728855166,0.3714014728855166,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0081274382314694,0.0069895968790637,0.1555109326193663,0.1555109326193663
robust_convnext_tiny,APGD,0.0005,0.0101918465227817,0.0101918465227817,0.4396898013836197,0.4396898013836197,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0105656697009102,0.0105656697009102,0.412929495760821,0.412929495760821
robust_convnext_tiny,APGD,0.001,0.0101918465227817,0.0101918465227817,0.4525775496540951,0.4525775496540951,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0105656697009102,0.0105656697009102,0.4428268630075859,0.4428268630075859
robust_convnext_tiny,TRADES_v2,0.0001,0.0224820143884892,0.0167865707434052,0.1339823700066949,0.1339823700066949,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.1443433029908972,0.0954161248374512,0.1256972333779562,0.1264223560910307
robust_convnext_tiny,TRADES_v2,0.0005,0.0098920863309352,0.0098920863309352,0.4375418433385405,0.4375418433385405,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0924902470741222,0.0687581274382314,0.1230756358768407,0.1230756358768407
robust_convnext_tiny,TRADES_v2,0.001,0.0098920863309352,0.0098920863309352,0.4484769024771256,0.4484769024771256,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0105656697009102,0.0105656697009102,0.4308902275769745,0.4308902275769745
robust_deit_small_patch16_224,APGD,0.0001,0.0197841726618705,0.0071942446043165,0.6014866590261415,0.6014866590261415,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.109557867360208,0.0780234070221066,0.5822970404395341,0.5822970404395341
robust_deit_small_patch16_224,APGD,0.0005,0.014388489208633,0.0092925659472422,0.5743053825068527,0.5743053825068527,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0112158647594278,0.0030884265279583,0.59089813682689,0.577713644380311
robust_deit_small_patch16_224,APGD,0.001,0.013189448441247,0.000599520383693,0.6019627333464864,0.6019627333464864,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0139791937581274,0.0043888166449934,0.60984236524949,0.60984236524949
robust_deit_small_patch16_224,TRADES_v2,0.0001,0.1786570743405275,0.1139088729016786,0.6066399440032076,0.6066399440032076,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.3699609882964889,0.2386215864759427,0.588031502471706,0.5891579982546904
