,dataset,backbone,loss_function,PairwiseDistance_Mean,PairwiseDistance_Median,PairwiseDistance_25%,PairwiseDistance_75%,PairwiseDistance_Std,std_dev_25%,std_dev_Mean,std_dev_Median,std_dev_75%,std_dev_Std,mean_abs_change_25%,mean_abs_change_Mean,mean_abs_change_Median,mean_abs_change_75%,mean_abs_change_Std
10,flowers-102,convnext_tiny,CLASSIC_AT,6.225728133857353,5.380003983581233,0.06940844118963692,9.222053468496108,6.978895159838595,2.404256478222391,2.586392700764384,2.424879114389533,2.9084559581328877,1.7393289996309313,1.3436344221526502,1.648438194007976,1.353300984700521,1.3650718240176931,2.0504681152675928
11,oxford-iiit-pet,convnext_tiny,CLASSIC_AT,4.9446528267706364,4.730070211043594,0.13944620325945367,6.404493174777514,5.62955867799816,2.021106070668629,2.3249450088069477,2.0632827046502786,2.1320642407692705,1.7023989576436742,1.1278445755226025,1.5358942745545479,1.1415351093679234,1.1655929123145947,1.890557706722117
12,stanford_cars,robust_convnext_tiny,TRADES_v2,6.851881002643538,6.030586729986729,2.8655009285348356,8.906799018535136,6.012366081344243,1.8690295385406823,2.5625466991091304,2.373007183899933,2.898304549688225,2.3989369043059217,1.1448837280273438,1.3978697023603242,1.3242907914959017,1.3441910540471311,1.335051113898968
13,caltech101,robust_convnext_tiny,TRADES_v2,2.8718311441126088,2.921139418453097,0.8438183124248797,3.76984480568386,2.5263135028347175,1.7515677989643037,1.9229808780357642,1.9566233103777795,2.1798488074735425,1.0466354428826823,0.92676514845628,1.0556250652484866,1.0827525212214544,1.132952646108774,0.5746905508175983
14,fgvc-aircraft-2013b,robust_convnext_tiny,TRADES_v2,6.0724963625656985,6.124806563250299,3.2233803189244443,8.449067657387289,4.329437122499899,2.0775019424941807,2.601264739170379,2.3790662831653684,2.5408594815308954,1.9038084271533935,1.1521143003099676,1.3920204582600337,1.1652061215111043,1.329830210892951,1.0713903252051873
15,dtd,robust_convnext_tiny,TRADES_v2,3.1115428242327545,3.7998990776840227,0.3327917870054854,4.927991337872854,2.156758448472842,1.5851309776600446,1.585548743072948,1.758461317494738,1.9691974522940847,0.5885426869029683,0.9193817787982048,0.8461236401031613,0.9614692201005651,0.9845101214469747,0.30033905831288277
16,flowers-102,robust_convnext_tiny,TRADES_v2,3.89805140798863,4.592462471795111,0.3181700463388484,6.225085889352494,2.8181571228856086,2.0428645029516397,2.0015285907516835,2.086833432658387,2.405545295771417,0.6273480297808877,1.1419036266850489,1.0890072364433139,1.1549685010723039,1.183040574017693,0.33371973675233096
17,oxford-iiit-pet,robust_convnext_tiny,TRADES_v2,3.091170525226719,3.2374514369397844,0.8541087779434944,3.6302554244880296,2.5129088819591257,1.3293695425669725,1.6370478041649377,1.695643741514521,1.8676529150477392,1.0018069352159422,0.794286658798439,0.898286723268765,0.9056097666422526,0.98406982421875,0.5552146692543306
18,stanford_cars,robust_convnext_tiny,CLASSIC_AT,6.601148850722527,7.038799865077445,4.716590656217982,9.390086104967803,3.880565879973249,0.4449097170975648,2.2964235656275322,2.3894769034971115,2.897841693943271,1.7177644034682806,0.2544922125144083,1.2268887504202421,1.3262274069864242,1.3473516745645493,0.9453636608439886
19,caltech101,robust_convnext_tiny,CLASSIC_AT,3.0378901751972,3.3886619950038064,1.6780227838021071,4.253477630770627,1.8696023528525099,1.1170456994118145,1.6947093160399775,1.9488295334042958,2.1264562312026527,0.930052054935024,0.677633127799401,0.9165923130817902,1.0678499075082633,1.1082344642052284,0.4931537161687409
20,fgvc-aircraft-2013b,robust_convnext_tiny,CLASSIC_AT,6.633232578006353,6.040349902507941,4.144418998067977,8.833843588457308,5.944879389786005,2.086274659458,2.8805179838263792,2.5252437790906925,2.5522233298636148,2.408738393560819,1.157103759472539,1.5429380320559936,1.1677940707533014,1.3987950649009604,1.3602657022502216
21,dtd,robust_convnext_tiny,CLASSIC_AT,4.057956202112615,3.993408642002577,0.9360876184937973,6.064199734665383,2.7862160922949566,1.6050489173466227,1.7057564007841786,1.7820543714199846,2.072087085556757,1.0723828927459182,0.932700818650266,0.9212906246007546,0.9618775712682845,1.0244587350398937,0.5874018977324896
22,flowers-102,robust_convnext_tiny,CLASSIC_AT,4.899134271207608,4.657314960031873,1.25833740234375,6.9584971378461145,3.7799260352006923,2.0656137153035488,2.334693228131633,2.2611528803344614,2.5092330260831153,1.3422889785346208,1.1478142831839766,1.2720811656150912,1.1642085056678921,1.2918042949601716,0.7530518225747701
23,oxford-iiit-pet,robust_convnext_tiny,CLASSIC_AT,3.432959521827257,3.040914911528878,1.0844799501403761,3.6197575591877786,3.6805118054834702,1.6347262499108062,1.9388385227383027,1.7031156568435473,1.9559766784038597,1.4178951087079783,0.8600309620732847,1.047697648055386,0.9097573100656703,0.9532488394474637,0.7931962157503688
24,stanford_cars,convnext_tiny.fb_in22k,TRADES_v2,6.2192715718261535,5.320889364413457,3.3583352010758185,7.688972799085995,4.965123843473491,2.3777467108282604,3.0288478794679774,2.428616342961954,2.894166575747284,2.1380432324996526,1.2710361668320953,1.6196846216754186,1.3271416836097591,1.3446144979508197,1.2043908157953094
25,caltech101,convnext_tiny.fb_in22k,TRADES_v2,3.0637336297482913,2.6320922367518103,1.3007888207068807,3.7781889813111,2.970569906578495,1.5483370166425363,2.0920620161964196,2.0665356385797526,2.346498190098032,1.2136616679177576,0.8761165325458233,1.158635976419344,1.111225362924429,1.2916922642634465,0.6722508691827924
26,fgvc-aircraft-2013b,convnext_tiny.fb_in22k,TRADES_v2,5.897121707218101,5.5438971588851,3.6798274485575484,7.805155215503367,4.0587934887303225,2.0873835288899323,2.823586872502887,2.3491396294035467,2.5857140806564747,1.773107723308977,1.1527810342887155,1.5206455930242389,1.1780336890615621,1.3132089749962486,1.0042661171046798
27,dtd,convnext_tiny.fb_in22k,TRADES_v2,3.328638710185002,3.8614116632964826,1.070727798786569,4.747113146146569,1.9820276713425622,1.5303819197764097,1.8240667093970544,1.8616659738303374,2.087106884992854,0.711055051270231,0.9216772850523604,0.9850526922124163,0.9838553895341589,1.054405326031624,0.37918031515974443
28,flowers-102,convnext_tiny.fb_in22k,TRADES_v2,3.1177473364256434,4.0599135077496955,0.8315739874504469,4.542640101592921,1.9211938725183906,1.7571293485264663,1.9515959891065777,2.1060792925192997,2.379288339260596,0.6171808969696021,1.0450038087134268,1.058748220991559,1.142615763346354,1.1779270546109069,0.2986966102085006
29,oxford-iiit-pet,convnext_tiny.fb_in22k,TRADES_v2,3.190688540362406,3.3479915682021657,1.6735602292484062,4.007641179270902,1.9451880559631898,1.2726398836907007,1.806971897397621,1.7999955979765918,1.9741859578587047,0.9197064455340863,0.7859487118928329,0.9848988057402394,0.9210383097330729,1.0641928410184556,0.5095200580847128
30,stanford_cars,convnext_tiny.fb_in22k,CLASSIC_AT,7.4560654221392015,6.169871180294852,5.212154083163287,10.410039632528717,5.562215653907219,2.3683934859121294,2.9097728816944186,2.4178136524986047,2.900363134982022,2.5037152826986437,1.3222338066726433,1.5632462713156925,1.3353746758132685,1.3630520179623462,1.4045822554045702
31,caltech101,convnext_tiny.fb_in22k,CLASSIC_AT,3.9695850556380736,3.927445435823935,1.9974625882677388,4.76914668582851,3.4257566983036987,1.701084018703117,2.0590746580650463,2.0572876279437686,2.329375603830072,1.3522790584817808,1.003246072622446,1.1242711849145957,1.0805967477651743,1.1609600360576922,0.7465440344832778
32,fgvc-aircraft-2013b,convnext_tiny.fb_in22k,CLASSIC_AT,6.703807901032528,7.775520693972106,4.615485040952501,9.24703235514433,4.022851513719485,1.584057969011014,2.287031454766414,2.1165479745980718,2.5568318828856107,1.8948558130919075,0.8899052357759512,1.2453151108204163,1.1745901119236757,1.2249062711021907,1.0570214656464099
33,dtd,convnext_tiny.fb_in22k,CLASSIC_AT,3.8239670810565234,3.9763438776640183,1.8663426138498216,5.413511769390621,2.3256682232600934,1.7116572473843101,1.7693676700583678,1.9294586899921171,2.110852862438674,0.8925508872112058,0.9634900681515958,0.9362383078820234,0.9782542127244016,1.0592724252254406,0.4833484325803396
34,flowers-102,convnext_tiny.fb_in22k,CLASSIC_AT,4.662205329593124,4.722692297183974,0.7279862732269547,7.508146935997172,3.3786471908627105,2.117430792826147,2.2890296880380205,2.1456751521570605,2.573523048777029,1.0337659866014985,1.1815673828125,1.2553653561360996,1.1908643535539218,1.2346180635340074,0.6355301959792353
35,stanford_cars,deit_small_patch16_224.fb_in1k,TRADES_v2,7.037453744822064,5.4612769472131175,2.616441870517418,8.561341694879975,6.405164030691433,2.416071378093108,3.3712080705548604,2.6834574156645323,2.918729932942027,2.6078625326048304,1.3211409772028688,1.806402949137664,1.3422136150422643,1.3910968717981558,1.475604589027467
