backbone,ft_type,freeze_epochs,dataset,pruning_strategy,pruning_ratio,batch_strategy,aug,iterations,delta,batch_size,sample_size,loss_function,init_lr,sched,momentum,weight_decay,seed,log_dir,statedict_dir,data_dir,task,num_workers,epsilon,step_size,perturb_steps,beta,distance,unsup_fraction,exp,timestamp,clean_acc,robust_acc,id,nat_zero_mean,nat_dormant_mean,nat_overactive_mean,adv_zero_mean,adv_dormant_mean,adv_overactive_mean
robust_convnext_base,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/22/05,0.0,0.0,5c2b6d08e06934b9ddc2fcad7e11161c,0.0021640464158712,0.1642920643833052,0.058347370391166,0.0021640464158712,0.1642920643833052,0.058347370391166
convnext_tiny,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/25/10,0.021875,0.0,6113972e3b37c1ab0d911686ace6c318,0.0147534582775546,0.1233266398929049,0.0576193663543061,0.0146976796073181,0.1229640785363676,0.0576751450245426
vit_base_patch16_224.augreg_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/30/10,0.775,0.54375,5a7f2b057f1b1a1327402c32b099ce8c,0.1217055545131773,0.1802763879061771,0.0505081348949178,0.1194932444713055,0.1771441740013578,0.0500601927514366
wideresnet_28_10,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/31/36,0.0,0.0,cd2e805a90fb1ff2b58e4e52e9d769d0,0.0025740341243381,0.035325554030202,0.0159099823494802,0.0025740341243381,0.035325554030202,0.0159099823494802
robust_wideresnet_28_10,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/34/55,0.0,0.0,c86f2dbbb35b44713ec78beb52009dfb,0.0037752500490292,0.0332908413414394,0.0200039223377132,0.0037752500490292,0.0332908413414394,0.0200039223377132
robust_convnext_tiny,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/38/16,0.703125,0.6125,b5edc9133ca7a18403f2b56c94254a34,0.0022590361445783,0.0397144132083891,0.0252398482820169,0.0022590361445783,0.0393797411869701,0.0250725122713074
deit_small_patch16_224.fb_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/40/14,0.0234375,0.0,3b77489b05b85835295cbef610214d68,0.1228503072650655,0.2039061094404606,0.0519971005339962,0.1209284166027168,0.2019368836798862,0.0518290563455957
convnext_tiny.fb_in22k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/40/35,0.95625,0.8125,3e5b0accb96e8c8be18d6b03e9b2de6c,0.0045459616242748,0.047049308344489,0.0312081659973226,0.0045459616242748,0.0456269522534582,0.0309850513163766
robust_deit_small_patch16_224,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/41/32,0.003125,0.0,c07c67562865d3a87dde851c97898f2b,0.178780351681115,0.2853187760312442,0.0596329525718838,0.1785895425844535,0.2851442756659041,0.0596241403493311
convnext_base,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/49/42,0.06875,0.0,fb7bc0da36a342876da4c8414fded286,0.0049948530787946,0.0688868613138686,0.0392335766423357,0.0041526296088339,0.0670035560546509,0.0392452741905296
