,clean_acc,robust_acc,backbone,dataset,loss_function,zero_adv_train0,dormant_adv_train0,overactive_adv_train0,zero_adv_train5,dormant_adv_train5,overactive_adv_train5,zero_adv_val0,dormant_adv_val0,overactive_adv_val0,zero_adv_val5,dormant_adv_val5,overactive_adv_val5
68,0.45866666666666667,0.336,robust_deit_small_patch16_224,flowers-102,CLASSIC_AT,0.380642547309214,0.06906906906906907,0.0378950378950379,0.16161399494732828,0.06094189427522761,0.050884217550884216,0.19427165260498594,0.09331950998617665,0.05531722198388865,0.19185256685256685,0.07751203584536918,0.047380714047380715
69,0.45866666666666667,0.336,robust_deit_small_patch16_224,flowers-102,CLASSIC_AT,0.380642547309214,0.06906906906906907,0.0378950378950379,0.16161399494732828,0.06094189427522761,0.050884217550884216,0.19427165260498594,0.09331950998617665,0.05531722198388865,0.19185256685256685,0.07751203584536918,0.047380714047380715
70,0.5793333333333334,0.19066666666666668,convnext_base,stanford_cars,TRADES_v2,0.13314078076958913,0.009130718345290226,0.03778067641852231,0.15792415913537688,0.016677536569458678,0.03596384980900028,0.06364716295537129,0.018692350694120934,0.04289341283890804,0.026879716761390105,0.009747973539550918,0.04070390384794559
72,0.24933333333333332,0.088,convnext_base,fgvc-aircraft-2013b,TRADES_v2,0.13528310715956948,0.010107627515208236,0.03752924660739354,0.13846513804398689,0.025222274216190922,0.04674777725783809,0.08097800655124006,0.039354234908750584,0.05424660739354235,0.026789892372484792,0.010411792232101076,0.04086335985025737
73,0.7206666666666667,0.35533333333333333,convnext_base,dtd,TRADES_v2,0.20528216916076372,0.008959984988506826,0.03175869024722053,0.30088661631561664,0.013744898437866492,0.03274381948679458,0.1946216634610874,0.012877046488717925,0.03655533142562274,0.1636721865178027,0.009464277337336399,0.03274381948679458
74,0.7206666666666667,0.35533333333333333,convnext_base,dtd,TRADES_v2,0.20528216916076372,0.008959984988506826,0.03175869024722053,0.30088661631561664,0.013744898437866492,0.03274381948679458,0.1946216634610874,0.012877046488717925,0.03655533142562274,0.1636721865178027,0.009464277337336399,0.03274381948679458
75,0.7206666666666667,0.35533333333333333,convnext_base,dtd,TRADES_v2,0.20528216916076372,0.008959984988506826,0.03175869024722053,0.30088661631561664,0.013744898437866492,0.03274381948679458,0.1946216634610874,0.012877046488717925,0.03655533142562274,0.1636721865178027,0.009464277337336399,0.03274381948679458
78,0.24466666666666667,0.018666666666666668,convnext_base,stanford_cars,CLASSIC_AT,0.13323395136494923,0.009549986024410696,0.03764092052548216,0.15778440324233672,0.016211683592658156,0.04104164725612597,0.04481505636821019,0.01518680704369701,0.04491987328799031,0.026914655734650145,0.009631510295350787,0.0406223795770055
79,0.11733333333333333,0.0065,convnext_base,fgvc-aircraft-2013b,CLASSIC_AT,0.26003743565746373,0.008797379503977538,0.03228825456247075,0.2908282639213851,0.01647168928404305,0.03841834347215723,0.22284744969583528,0.011382779597566683,0.03921385119326158,0.21713851193261582,0.009218530650444548,0.0345343940102948
80,0.11733333333333333,0.0065,convnext_base,fgvc-aircraft-2013b,CLASSIC_AT,0.26003743565746373,0.008797379503977538,0.03228825456247075,0.2908282639213851,0.01647168928404305,0.03841834347215723,0.22284744969583528,0.011382779597566683,0.03921385119326158,0.21713851193261582,0.009218530650444548,0.0345343940102948
81,0.68,0.46066666666666667,convnext_base,dtd,CLASSIC_AT,0.17000516020077872,0.009241450485527982,0.032696908570624385,0.2808556551109443,0.017169395318290565,0.0345733452174321,0.15991931322418726,0.01973776797860862,0.0433808697283858,0.06252052352582446,0.010203124267016936,0.035886850870197495
86,0.648,0.29333333333333333,convnext_base.fb_in22k,stanford_cars,TRADES_v2,0.10933569365508246,0.007407062331128296,0.03824652939532284,0.1811702226777229,0.014627783471536383,0.033355073138917356,0.057171806577844035,0.016630951271778625,0.04065731855026554,0.026774899841609988,0.0076399888195285565,0.04063402590142551
88,0.42533333333333334,0.13466666666666666,convnext_base.fb_in22k,fgvc-aircraft-2013b,TRADES_v2,0.11123069723912027,0.008235844642021525,0.037108095460926534,0.1584932147870847,0.0172671970051474,0.03907346747777258,0.05741693963500234,0.020577912962096396,0.04619794103883949,0.026708001871782874,0.008575105287786617,0.03950631726719701
89,0.6773333333333333,0.3393333333333333,convnext_base.fb_in22k,dtd,TRADES_v2,0.14584603837312943,0.007646479335741427,0.03433879063658113,0.22845616174883895,0.01088333255148473,0.032321621241262845,0.12896983628090256,0.015093587277759534,0.04030820471923817,0.05638692123657175,0.008784069052868602,0.03701271285828212
90,0.23133333333333334,0.012,convnext_base.fb_in22k,stanford_cars,CLASSIC_AT,0.10970837603652288,0.007267306438088139,0.03838628528836299,0.15727196496785614,0.013416565731855026,0.04057579427932544,0.026961241032330198,0.010493338302431753,0.044640361501909996,0.026728314543929935,0.007744805739308675,0.04076213547004565
91,0.214,0.004666666666666667,convnext_base.fb_in22k,fgvc-aircraft-2013b,CLASSIC_AT,0.11165184838558727,0.00837622835751053,0.03752924660739354,0.13593823116518483,0.01020121665886757,0.041834347215722975,0.02680159101544221,0.009300421151146467,0.04321478708469818,0.02673139915769771,0.008586803930744034,0.03961160505381376
92,0.714,0.25183333333333335,convnext_base.fb_in22k,dtd,CLASSIC_AT,0.2899094619317915,0.00703663742552892,0.030679739175306094,0.31341183093305813,0.012056105455739551,0.03335366139700709,0.24709152319744804,0.01166909039733546,0.03581648449594221,0.22925364732373224,0.007623023877656331,0.03204015574424168
93,0.714,0.25183333333333335,convnext_base.fb_in22k,dtd,CLASSIC_AT,0.2899094619317915,0.00703663742552892,0.030679739175306094,0.31341183093305813,0.012056105455739551,0.03335366139700709,0.24709152319744804,0.01166909039733546,0.03581648449594221,0.22925364732373224,0.007623023877656331,0.03204015574424168
