,clean_acc,robust_acc,backbone,dataset,loss_function
103,,,convnext_base.clip_laion2b,caltech101,CLASSIC_AT
104,0.30466666666666664,0.1,convnext_base.clip_laion2b,fgvc-aircraft-2013b,CLASSIC_AT
105,0.5626666666666666,0.3313333333333333,convnext_base.clip_laion2b,dtd,CLASSIC_AT
106,,,convnext_base.clip_laion2b,flowers-102,CLASSIC_AT
107,,,convnext_base.clip_laion2b,oxford-iiit-pet,CLASSIC_AT
108,0.8753333333333333,0.614,convnext_base.clip_laion2b_augreg,stanford_cars,TRADES_v2
109,,,convnext_base.clip_laion2b_augreg,caltech101,TRADES_v2
110,0.422,0.014666666666666666,convnext_base.clip_laion2b_augreg,fgvc-aircraft-2013b,TRADES_v2
111,,,convnext_base.clip_laion2b_augreg,dtd,TRADES_v2
112,0.7293333333333333,0.278,convnext_base.clip_laion2b_augreg,flowers-102,TRADES_v2
113,0.802,0.3506666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,TRADES_v2
114,,,convnext_base.clip_laion2b_augreg,stanford_cars,CLASSIC_AT
115,,,convnext_base.clip_laion2b_augreg,caltech101,CLASSIC_AT
116,0.2906666666666667,0.106,convnext_base.clip_laion2b_augreg,fgvc-aircraft-2013b,CLASSIC_AT
117,0.5653333333333334,0.328,convnext_base.clip_laion2b_augreg,dtd,CLASSIC_AT
118,0.30133333333333334,0.14466666666666667,convnext_base.clip_laion2b_augreg,flowers-102,CLASSIC_AT
119,0.7766666666666666,0.2811666666666667,convnext_base.clip_laion2b_augreg,oxford-iiit-pet,CLASSIC_AT
120,0.24266666666666667,0.04,vit_base_patch16_224.augreg_in1k,stanford_cars,TRADES_v2
121,,,vit_base_patch16_224.augreg_in1k,caltech101,TRADES_v2
122,0.114,0.0175,vit_base_patch16_224.augreg_in1k,fgvc-aircraft-2013b,TRADES_v2
123,0.5346666666666666,0.23933333333333334,vit_base_patch16_224.augreg_in1k,dtd,TRADES_v2
124,0.04133333333333333,0.019333333333333334,vit_base_patch16_224.augreg_in1k,flowers-102,TRADES_v2
125,0.8653333333333333,0.5208333333333334,vit_base_patch16_224.augreg_in1k,oxford-iiit-pet,TRADES_v2
126,0.13066666666666665,0.028,vit_base_patch16_224.augreg_in1k,stanford_cars,CLASSIC_AT
127,,,vit_base_patch16_224.augreg_in1k,caltech101,CLASSIC_AT
128,0.010666666666666666,0.0,vit_base_patch16_224.augreg_in1k,fgvc-aircraft-2013b,CLASSIC_AT
129,0.5306666666666666,0.28933333333333333,vit_base_patch16_224.augreg_in1k,dtd,CLASSIC_AT
130,,,vit_base_patch16_224.augreg_in1k,flowers-102,CLASSIC_AT
131,0.7793333333333333,0.5553333333333333,vit_base_patch16_224.augreg_in1k,oxford-iiit-pet,CLASSIC_AT
132,0.264,0.0033333333333333335,vit_base_patch16_224.augreg_in21k,stanford_cars,TRADES_v2
133,,,vit_base_patch16_224.augreg_in21k,caltech101,TRADES_v2
134,0.01,0.01,vit_base_patch16_224.augreg_in21k,fgvc-aircraft-2013b,TRADES_v2
135,0.4166666666666667,0.04683333333333333,vit_base_patch16_224.augreg_in21k,dtd,TRADES_v2
136,0.6573333333333333,0.09066666666666667,vit_base_patch16_224.augreg_in21k,flowers-102,TRADES_v2
137,0.6766666666666666,0.03883333333333333,vit_base_patch16_224.augreg_in21k,oxford-iiit-pet,TRADES_v2
138,0.006666666666666667,0.0006666666666666666,vit_base_patch16_224.augreg_in21k,stanford_cars,CLASSIC_AT
139,,,vit_base_patch16_224.augreg_in21k,caltech101,CLASSIC_AT
140,0.012,0.002,vit_base_patch16_224.augreg_in21k,fgvc-aircraft-2013b,CLASSIC_AT
141,0.5306666666666666,0.277,vit_base_patch16_224.augreg_in21k,dtd,CLASSIC_AT
142,,,vit_base_patch16_224.augreg_in21k,flowers-102,CLASSIC_AT
143,,,vit_base_patch16_224.augreg_in21k,oxford-iiit-pet,CLASSIC_AT
144,0.3373333333333333,0.025333333333333333,vit_base_patch16_224.dino,stanford_cars,TRADES_v2
145,,,vit_base_patch16_224.dino,caltech101,TRADES_v2
146,0.18933333333333333,0.03866666666666667,vit_base_patch16_224.dino,fgvc-aircraft-2013b,TRADES_v2
147,,,vit_base_patch16_224.dino,dtd,TRADES_v2
148,0.6633333333333333,0.298,vit_base_patch16_224.dino,flowers-102,TRADES_v2
149,0.8213333333333334,0.3466666666666667,vit_base_patch16_224.dino,oxford-iiit-pet,TRADES_v2
150,0.226,0.09733333333333333,vit_base_patch16_224.dino,stanford_cars,CLASSIC_AT
151,,,vit_base_patch16_224.dino,caltech101,CLASSIC_AT
152,0.14533333333333334,0.056666666666666664,vit_base_patch16_224.dino,fgvc-aircraft-2013b,CLASSIC_AT
153,0.522,0.30533333333333335,vit_base_patch16_224.dino,dtd,CLASSIC_AT
154,,,vit_base_patch16_224.dino,flowers-102,CLASSIC_AT
155,,,vit_base_patch16_224.dino,oxford-iiit-pet,CLASSIC_AT
156,0.078,0.02,vit_base_patch16_224.mae,stanford_cars,TRADES_v2
157,,,vit_base_patch16_224.mae,caltech101,TRADES_v2
158,0.03666666666666667,0.012666666666666666,vit_base_patch16_224.mae,fgvc-aircraft-2013b,TRADES_v2
159,0.3333333333333333,0.142,vit_base_patch16_224.mae,dtd,TRADES_v2
160,,,vit_base_patch16_224.mae,flowers-102,TRADES_v2
161,0.612,0.1375,vit_base_patch16_224.mae,oxford-iiit-pet,TRADES_v2
162,0.04,0.016666666666666666,vit_base_patch16_224.mae,stanford_cars,CLASSIC_AT
163,,,vit_base_patch16_224.mae,caltech101,CLASSIC_AT
164,,,vit_base_patch16_224.mae,fgvc-aircraft-2013b,CLASSIC_AT
165,0.318,0.19266666666666668,vit_base_patch16_224.mae,dtd,CLASSIC_AT
166,,,vit_base_patch16_224.mae,flowers-102,CLASSIC_AT
167,,,vit_base_patch16_224.mae,oxford-iiit-pet,CLASSIC_AT
168,0.38466666666666666,0.04533333333333334,vit_base_patch16_224.orig_in21k,stanford_cars,TRADES_v2
169,,,vit_base_patch16_224.orig_in21k,caltech101,TRADES_v2
170,0.23733333333333334,0.022,vit_base_patch16_224.orig_in21k,fgvc-aircraft-2013b,TRADES_v2
171,0.6846666666666666,0.21533333333333332,vit_base_patch16_224.orig_in21k,dtd,TRADES_v2
172,,,vit_base_patch16_224.orig_in21k,flowers-102,TRADES_v2
173,,,vit_base_patch16_224.orig_in21k,oxford-iiit-pet,TRADES_v2
174,0.26066666666666666,0.11333333333333333,vit_base_patch16_224.orig_in21k,stanford_cars,CLASSIC_AT
175,,,vit_base_patch16_224.orig_in21k,caltech101,CLASSIC_AT
176,,,vit_base_patch16_224.orig_in21k,fgvc-aircraft-2013b,CLASSIC_AT
177,0.5893333333333334,0.3353333333333333,vit_base_patch16_224.orig_in21k,dtd,CLASSIC_AT
178,,,vit_base_patch16_224.orig_in21k,flowers-102,CLASSIC_AT
179,,,vit_base_patch16_224.orig_in21k,oxford-iiit-pet,CLASSIC_AT
180,0.506,0.15466666666666667,vit_base_patch16_224.sam_in1k,stanford_cars,TRADES_v2
181,,,vit_base_patch16_224.sam_in1k,caltech101,TRADES_v2
182,0.27266666666666667,0.073,vit_base_patch16_224.sam_in1k,fgvc-aircraft-2013b,TRADES_v2
183,0.6086666666666667,0.2813333333333333,vit_base_patch16_224.sam_in1k,dtd,TRADES_v2
184,,,vit_base_patch16_224.sam_in1k,flowers-102,TRADES_v2
185,,,vit_base_patch16_224.sam_in1k,oxford-iiit-pet,TRADES_v2
186,0.358,0.206,vit_base_patch16_224.sam_in1k,stanford_cars,CLASSIC_AT
187,,,vit_base_patch16_224.sam_in1k,caltech101,CLASSIC_AT
188,0.21466666666666667,0.10933333333333334,vit_base_patch16_224.sam_in1k,fgvc-aircraft-2013b,CLASSIC_AT
189,0.5393333333333333,0.32266666666666666,vit_base_patch16_224.sam_in1k,dtd,CLASSIC_AT
190,0.474,0.3393333333333333,vit_base_patch16_224.sam_in1k,flowers-102,CLASSIC_AT
191,,,vit_base_patch16_224.sam_in1k,oxford-iiit-pet,CLASSIC_AT
192,0.08933333333333333,0.0026666666666666666,vit_base_patch16_224_miil.in21k,stanford_cars,TRADES_v2
193,,,vit_base_patch16_224_miil.in21k,caltech101,TRADES_v2
194,0.064,0.004,vit_base_patch16_224_miil.in21k,fgvc-aircraft-2013b,TRADES_v2
195,,,vit_base_patch16_224_miil.in21k,dtd,TRADES_v2
196,0.7046666666666667,0.3245,vit_base_patch16_224_miil.in21k,flowers-102,TRADES_v2
197,,,vit_base_patch16_224_miil.in21k,oxford-iiit-pet,TRADES_v2
198,0.008666666666666666,0.008666666666666666,vit_base_patch16_224_miil.in21k,stanford_cars,CLASSIC_AT
199,,,vit_base_patch16_224_miil.in21k,caltech101,CLASSIC_AT
200,0.02266666666666667,0.002,vit_base_patch16_224_miil.in21k,fgvc-aircraft-2013b,CLASSIC_AT
201,0.2693333333333333,0.1725,vit_base_patch16_224_miil.in21k,dtd,CLASSIC_AT
202,,,vit_base_patch16_224_miil.in21k,flowers-102,CLASSIC_AT
203,,,vit_base_patch16_224_miil.in21k,oxford-iiit-pet,CLASSIC_AT
