backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc
"convnext_t,sup,in22k",medium,fully convolutional,TRADES,supervised,stanford_cars,0.081,0.022,0.027,0.02666666666666667,0.064
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,stanford_cars,0.767,0.438,0.382,0.066,0.615
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),stanford_cars,0.419,0.116,0.09866666666666667,0.01,0.334
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),stanford_cars,0.052,0.005333333333333333,0.008,0.003,0.052
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,stanford_cars,0.749,0.442,0.42,0.118,0.633
"eva02_b,mim,ink22k",medium,fully attention,TRADES,self-supervised,stanford_cars,0.487,0.116,0.117,0.007,0.35
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),stanford_cars,0.686,0.307,0.338,0.12,0.55
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,stanford_cars,0.634,0.215,0.25,0.06,0.477
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,stanford_cars,0.78,0.5493333333333333,0.494,0.16,0.669
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),stanford_cars,0.726,0.393,0.395,0.169,0.62
"convnext_t,sup,in22k-in1k",medium,fully convolutional,TRADES,supervised (multistep),stanford_cars,0.6373333333333333,0.33466666666666667,0.365,0.20266666666666666,0.49
"coatnet_0,sup,in1k",medium,hybrid,TRADES,supervised,stanford_cars,0.564,0.224,0.22266666666666668,0.05466666666666667,0.446
"coatnet_2,sup,in12k-in1k",large,hybrid,TRADES,supervised (multistep),stanford_cars,0.741,0.465,0.395,0.095,0.613
"coatnet_2,sup,in12k",large,hybrid,TRADES,supervised,stanford_cars,0.766,0.5,0.435,0.105,0.6626666666666666
"regnetx_004,sup,in1k",small,fully convolutional,TRADES,supervised,stanford_cars,0.564,0.001,0.007,0.007,0.38
"efficientnet_b0,sup,in1k",small,fully convolutional,TRADES,supervised,stanford_cars,0.081,0.003,0.009,0.001,0.065
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,stanford_cars,0.5293333333333333,0.124,0.099,0.003,0.392
"mobilevit_s,sup,in1k",small,hybrid,TRADES,supervised,stanford_cars,0.103,0.005,0.008,0.0,0.079
"mobilenet_v3,sup,in1k",small,fully convolutional,TRADES,supervised,stanford_cars,0.486,0.0,0.008,0.053,0.328
