backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,fgvc-aircraft-2013b,0.233,0.083,0.079,0.031,0.184
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,fgvc-aircraft-2013b,0.084,0.036,0.05,0.034,0.098
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),fgvc-aircraft-2013b,0.599,0.327,0.316,0.14,0.528
"convnext_t,sup,in22k-in1k",medium,fully convolutional,Classic AT,supervised (multistep),fgvc-aircraft-2013b,0.074,0.032,0.036,0.023,0.067
"coatnet_0,sup,in1k",medium,hybrid,Classic AT,supervised,fgvc-aircraft-2013b,0.134,0.04,0.056,0.017333333333333333,0.109
"coatnet_2,sup,in12k-in1k",large,hybrid,Classic AT,supervised (multistep),fgvc-aircraft-2013b,0.335,0.142,0.031,0.004,0.25
"coatnet_2,sup,in12k",large,hybrid,Classic AT,supervised,fgvc-aircraft-2013b,0.314,0.118,0.048,0.002,0.227
"regnetx_004,sup,in1k",small,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b,0.266,0.02,0.02,0.008,0.23
"efficientnet_b0,sup,in1k",small,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b,0.03,0.008,0.004,0.004,0.027
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,fgvc-aircraft-2013b,0.20533333333333334,0.05333333333333334,0.015,0.0,0.166
"mobilevit_s,sup,in1k",small,hybrid,Classic AT,supervised,fgvc-aircraft-2013b,0.05,0.029,0.011,0.008,0.045
"mobilenet_v3,sup,in1k",small,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b,0.22,0.004,0.011,0.02666666666666667,0.21
"edgenetx_s,sup,in1k",small,hybrid,Classic AT,supervised,fgvc-aircraft-2013b,0.086,0.024,0.034,0.019,0.081
"coat_t,sup,in1k",small,hybrid,Classic AT,supervised,fgvc-aircraft-2013b,0.019,0.011,0.024,0.017,0.024
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),flowers-102,0.7066666666666667,0.43866666666666665,0.5133333333333333,0.429,0.584
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),flowers-102,0.728,0.475,0.544,0.446,0.62
"deit_s,sup,in1k",medium,fully attention,Classic AT,supervised,flowers-102,0.261,0.118,0.10133333333333333,0.032,0.19866666666666666
"resnet50,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),flowers-102,0.692,0.308,0.127,0.014666666666666666,0.488
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,flowers-102,0.422,0.144,0.193,0.087,0.33866666666666667
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,flowers-102,0.7666666666666667,0.48133333333333334,0.5826666666666667,0.53,0.672
"resnet50,sup,in1k",medium,fully convolutional,Classic AT,supervised,flowers-102,0.026,0.0,0.0,0.0,0.028
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),flowers-102,0.09,0.052,0.037,0.019,0.08
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,flowers-102,0.699,0.336,0.204,0.02666666666666667,0.588
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,flowers-102,0.02,0.01,0.012,0.01,0.024
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,flowers-102,0.908,0.68,0.76,0.62,0.844
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),flowers-102,0.7133333333333334,0.47733333333333333,0.519,0.382,0.603
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,flowers-102,0.632,0.313,0.352,0.20266666666666666,0.536
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,flowers-102,0.356,0.158,0.158,0.058,0.278
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),flowers-102,0.38,0.17466666666666666,0.163,0.052,0.326
"convnext_t,sup,in1k",medium,fully convolutional,Classic AT,supervised,flowers-102,0.616,0.25733333333333336,0.411,0.432,0.53
"convnext_t,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),flowers-102,0.774,0.568,0.463,0.189,0.665
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),flowers-102,0.19333333333333333,0.09333333333333334,0.064,0.02,0.166
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,flowers-102,0.015,0.0,0.005,0.007,0.014
"convnext_t,sup,in22k",medium,fully convolutional,Classic AT,supervised,flowers-102,0.807,0.54,0.635,0.594,0.6853333333333333
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,flowers-102,0.373,0.138,0.134,0.038,0.2946666666666667
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),flowers-102,0.812,0.0,0.026,0.005333333333333333,0.768
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),flowers-102,0.284,0.13066666666666665,0.099,0.03,0.23066666666666666
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,flowers-102,0.773,0.512,0.571,0.422,0.67
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,flowers-102,0.244,0.12,0.125,0.099,0.191
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),flowers-102,0.853,0.536,0.637,0.524,0.732
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,flowers-102,0.011,0.0,0.0,0.0,0.012
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,flowers-102,0.009,0.009,0.009,0.009,0.009
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),flowers-102,0.014,0.014,0.014,0.014,0.018
"convnext_t,sup,in22k-in1k",medium,fully convolutional,Classic AT,supervised (multistep),flowers-102,0.011,0.0,0.0,0.0,0.013
"coatnet_0,sup,in1k",medium,hybrid,Classic AT,supervised,flowers-102,0.391,0.166,0.259,0.242,0.29733333333333334
"coatnet_2,sup,in12k-in1k",large,hybrid,Classic AT,supervised (multistep),flowers-102,0.349,0.098,0.156,0.17,0.28
"coatnet_2,sup,in12k",large,hybrid,Classic AT,supervised,flowers-102,0.692,0.366,0.405,0.332,0.58
"regnetx_004,sup,in1k",small,fully convolutional,Classic AT,supervised,flowers-102,0.581,0.0,0.004,0.064,0.478
"efficientnet_b0,sup,in1k",small,fully convolutional,Classic AT,supervised,flowers-102,0.036,0.02,0.012,0.0,0.028
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,flowers-102,0.008,0.0,0.0,0.0,0.008
"mobilevit_s,sup,in1k",small,hybrid,Classic AT,supervised,flowers-102,0.079,0.041,0.049,0.053,0.063
"mobilenet_v3,sup,in1k",small,fully convolutional,Classic AT,supervised,flowers-102,0.569,0.0,0.0,0.077,0.42
"edgenetx_s,sup,in1k",small,hybrid,Classic AT,supervised,flowers-102,0.376,0.076,0.16,0.221,0.32
"coat_t,sup,in1k",small,hybrid,Classic AT,supervised,flowers-102,0.025333333333333333,0.016,0.015,0.009,0.024
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),oxford-iiit-pet,0.447,0.162,0.208,0.15466666666666667,0.359
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),oxford-iiit-pet,0.432,0.188,0.204,0.177,0.3
"deit_s,sup,in1k",medium,fully attention,Classic AT,supervised,oxford-iiit-pet,0.7,0.215,0.288,0.105,0.553
"resnet50,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),oxford-iiit-pet,0.815,0.424,0.05,0.0,0.59
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,oxford-iiit-pet,0.041,0.028,0.03,0.028,0.04
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,oxford-iiit-pet,0.822,0.404,0.477,0.252,0.695
"resnet50,sup,in1k",medium,fully convolutional,Classic AT,supervised,oxford-iiit-pet,0.7813333333333333,0.021333333333333333,0.047,0.038,0.586
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),oxford-iiit-pet,0.824,0.402,0.431,0.118,0.687
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,oxford-iiit-pet,0.072,0.03,0.025,0.016,0.071
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,oxford-iiit-pet,0.732,0.146,0.272,0.09066666666666667,0.583
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,oxford-iiit-pet,0.799,0.4,0.48133333333333334,0.26666666666666666,0.644
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),oxford-iiit-pet,0.856,0.618,0.529,0.162,0.747
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,oxford-iiit-pet,0.062,0.035,0.036,0.022,0.048
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,oxford-iiit-pet,0.152,0.044,0.076,0.061,0.125
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),oxford-iiit-pet,0.08933333333333333,0.034666666666666665,0.038,0.023,0.072
"convnext_t,sup,in1k",medium,fully convolutional,Classic AT,supervised,oxford-iiit-pet,0.806,0.336,0.391,0.182,0.632
"convnext_t,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),oxford-iiit-pet,0.096,0.061,0.063,0.058,0.079
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),oxford-iiit-pet,0.476,0.224,0.131,0.004,0.379
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,oxford-iiit-pet,0.22133333333333333,0.04,0.086,0.052,0.173
"convnext_t,sup,in22k",medium,fully convolutional,Classic AT,supervised,oxford-iiit-pet,0.4226666666666667,0.13733333333333334,0.256,0.20533333333333334,0.338
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,oxford-iiit-pet,0.121,0.036,0.04133333333333333,0.016,0.10133333333333333
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),oxford-iiit-pet,0.205,0.061,0.094,0.047,0.161
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),oxford-iiit-pet,0.113,0.047,0.068,0.05466666666666667,0.094
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,oxford-iiit-pet,0.28,0.07733333333333334,0.13,0.103,0.255
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,oxford-iiit-pet,0.081,0.039,0.055,0.05733333333333333,0.079
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),oxford-iiit-pet,0.736,0.277,0.408,0.231,0.604
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,oxford-iiit-pet,0.669,0.208,0.29,0.14666666666666667,0.516
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,oxford-iiit-pet,0.418,0.152,0.209,0.173,0.316
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),oxford-iiit-pet,0.802,0.409,0.457,0.259,0.656
"convnext_t,sup,in22k-in1k",medium,fully convolutional,Classic AT,supervised (multistep),oxford-iiit-pet,0.06,0.001,0.008,0.024,0.047
"coatnet_0,sup,in1k",medium,hybrid,Classic AT,supervised,oxford-iiit-pet,0.29,0.089,0.136,0.107,0.186
"coatnet_2,sup,in12k-in1k",large,hybrid,Classic AT,supervised (multistep),oxford-iiit-pet,0.779,0.391,0.407,0.178,0.626
"coatnet_2,sup,in12k",large,hybrid,Classic AT,supervised,oxford-iiit-pet,0.23733333333333334,0.08533333333333333,0.10666666666666667,0.07066666666666667,0.188
"regnetx_004,sup,in1k",small,fully convolutional,Classic AT,supervised,oxford-iiit-pet,0.504,0.018666666666666668,0.032,0.016,0.37
"efficientnet_b0,sup,in1k",small,fully convolutional,Classic AT,supervised,oxford-iiit-pet,0.135,0.053,0.054,0.036,0.116
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,oxford-iiit-pet,0.046,0.015,0.029,0.029,0.04
"mobilevit_s,sup,in1k",small,hybrid,Classic AT,supervised,oxford-iiit-pet,0.085,0.042,0.048,0.042,0.072
"mobilenet_v3,sup,in1k",small,fully convolutional,Classic AT,supervised,oxford-iiit-pet,0.498,0.003,0.028,0.102,0.373
"edgenetx_s,sup,in1k",small,hybrid,Classic AT,supervised,oxford-iiit-pet,0.734,0.258,0.339,0.16533333333333333,0.58
"coat_t,sup,in1k",small,hybrid,Classic AT,supervised,oxford-iiit-pet,0.08666666666666667,0.044,0.05733333333333333,0.044,0.072
