dataset,target,surrogate,perturbation,accuracy
oxford-iiit-pet,Gemini Flash (no think),MetaCLIP H/14,linf@8,92.3
oxford-iiit-pet,Gemini Flash (no think),SigLIP2 base,linf@30,91.4
oxford-iiit-pet,Gemini Flash (no think),SigLIP2 base,linf@8,95.8
oxford-iiit-pet,Gemini Flash (no think),n/a (clean),clean,96.5
oxford-iiit-pet,Gemini Flash (no think),n/a (common),sev@3,87.2
stanford_cars,GPT-4o,CLIP B/16,l1@300,67.6
stanford_cars,GPT-4o,CLIP B/16,l1@75,70.6
stanford_cars,GPT-4o,CLIP B/16,l2@2,71.3
stanford_cars,GPT-4o,CLIP B/16,l2@8,52.6
stanford_cars,GPT-4o,CLIP B/16,linf@30,37.3
stanford_cars,GPT-4o,CLIP B/16,linf@8,64.7
stanford_cars,GPT-4o,CLIP H/14,l1@300,66.8
stanford_cars,GPT-4o,CLIP H/14,l1@75,71.3
stanford_cars,GPT-4o,CLIP H/14,l2@2,69.6
stanford_cars,GPT-4o,CLIP H/14,l2@8,52.6
stanford_cars,GPT-4o,CLIP H/14,linf@30,27.4
stanford_cars,GPT-4o,CLIP H/14,linf@8,64.0
stanford_cars,GPT-4o,MetaCLIP H/14,l1@300,68.6
stanford_cars,GPT-4o,MetaCLIP H/14,l1@75,72.4
stanford_cars,GPT-4o,MetaCLIP H/14,l2@2,69.7
stanford_cars,GPT-4o,MetaCLIP H/14,l2@8,60.1
stanford_cars,GPT-4o,MetaCLIP H/14,linf@30,33.9
stanford_cars,GPT-4o,MetaCLIP H/14,linf@8,63.2
stanford_cars,GPT-4o,SigLIP2 base,linf@30,72.4
stanford_cars,GPT-4o,SigLIP2 base,linf@8,72.4
stanford_cars,GPT-4o,n/a (clean),clean,72.2
stanford_cars,GPT-4o,n/a (common),sev@3,48.6
stanford_cars,Gemini Flash (no think),CLIP B/16,l1@300,93.0
stanford_cars,Gemini Flash (no think),CLIP B/16,l1@75,93.8
stanford_cars,Gemini Flash (no think),CLIP B/16,l2@2,93.8
stanford_cars,Gemini Flash (no think),CLIP B/16,l2@8,89.1
stanford_cars,Gemini Flash (no think),CLIP B/16,linf@30,82.7
stanford_cars,Gemini Flash (no think),CLIP B/16,linf@8,92.4
stanford_cars,Gemini Flash (no think),CLIP H/14,l1@300,92.2
stanford_cars,Gemini Flash (no think),CLIP H/14,l1@75,93.6
stanford_cars,Gemini Flash (no think),CLIP H/14,l2@2,92.4
stanford_cars,Gemini Flash (no think),CLIP H/14,l2@8,88.2
stanford_cars,Gemini Flash (no think),CLIP H/14,linf@30,73.9
stanford_cars,Gemini Flash (no think),CLIP H/14,linf@8,90.6
stanford_cars,Gemini Flash (no think),MetaCLIP H/14,l1@300,92.6
stanford_cars,Gemini Flash (no think),MetaCLIP H/14,l1@75,93.4
stanford_cars,Gemini Flash (no think),MetaCLIP H/14,l2@2,93.1
